property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6443051,-35.7088142",110.0,"$187,230.85"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6430934,-35.70484",65.0,"$81,133.37"
house,|Brasil|Alagoas|Maceió|,Northeast,"-9.6227033,-35.7297953",211.0,"$154,465.45"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.622837,-35.719556",99.0,"$146,013.20"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.654955,-35.700227",55.0,"$101,416.71"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.614414,-35.735621",56.0,"$75,727.07"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.584755,-35.662909",68.0,"$110,916.18"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",187.0,"$249,641.14"
apartment,|Brasil|Alagoas|Maceió|,Northeast,,65.0,"$100,792.61"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",90.0,"$115,459.02"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6637998,-35.7115455",137.0,"$361,979.65"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661504,-35.702961",101.0,"$131,061.59"
house,|Brasil|Alagoas|Marechal Deodoro|,Northeast,"-9.697809,-35.893414",140.0,"$99,856.45"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.629426,-35.69973",250.0,"$466,625.47"
apartment,|Brasil|Alagoas|Maceió|,Northeast,,182.0,"$312,051.42"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.64956,-35.73711",136.0,"$162,941.08"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6608,-35.705772",145.0,"$200,197.52"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.649588,-35.708401",138.0,"$188,295.26"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.650917,-35.706558",175.0,"$405,666.85"
apartment,|Brasil|Alagoas|Maceió|,Northeast,,133.0,"$187,230.85"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658275,-35.705242",122.0,"$187,230.85"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",98.0,"$118,579.54"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661148,-35.700417",107.0,"$183,069.25"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.638323,-35.74342",68.0,"$86,366.47"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",118.0,"$199,559.38"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66356,-35.73373",205.0,"$106,050.67"
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.659634,-35.705776",130.0,"$209,074.45"
apartment,|Brasil|Amapá|Macapá|,North,"0.0204232,-51.0695784",93.0,"$148,349.22"
apartment,|Brasil|Amazonas|Manaus|Santo Agostinho|,North,"-3.097695,-60.057747",117.0,"$249,641.14"
house,|Brasil|Amazonas|Manaus|Parque 10 de Novembro|,North,"-3.0782332,-60.0047424",110.0,"$118,579.54"
house,|Brasil|Amazonas|Manaus|Flores|,North,"-3.047664,-59.999931",80.0,"$78,012.85"
house,|Brasil|Amazonas|Manaus|Flores|,North,,104.0,"$140,423.14"
house,|Brasil|Bahia|Salvador|Nazaré|,Northeast,"-12.977729,-38.5093",138.0,"$93,615.42"
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,,202.0,"$154,465.45"
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202.0,"$154,465.45"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",120.0,"$87,374.39"
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202.0,"$154,465.45"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",82.0,"$87,374.39"
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",88.0,"$168,507.77"
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202.0,"$154,465.45"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127.0,"$202,833.42"
house,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.010818,-38.48336",240.0,"$374,461.71"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139.0,"$202,521.37"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139.0,"$205,641.88"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.96049,-38.405239",139.0,"$327,341.94"
house,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.930742,-38.365299",191.0,"$131,061.59"
apartment,|Brasil|Bahia|Mata de São João|,Northeast,"-12.477871,-38.126591",84.0,"$109,217.99"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,,161.0,"$378,125.50"
apartment,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.939807,-38.367931",57.0,"$93,303.37"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",182.0,"$468,077.13"
house,|Brasil|Bahia|Salvador|Stella Maris|,Northeast,,200.0,"$187,230.85"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",115.0,"$205,953.94"
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.996323,-38.481049",105.0,"$106,097.48"
apartment,|Brasil|Bahia|Mata de São João|,Northeast,"-12.477871,-38.126591",108.0,"$102,976.97"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.965071,-38.435036",72.0,"$143,408.53"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",54.0,"$121,388.00"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",55.0,"$89,558.75"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",70.0,"$154,465.45"
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-13.000443,-38.45739",107.0,"$190,351.36"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,,186.0,"$406,821.44"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009664,-38.486431",186.0,"$414,965.98"
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",90.0,"$177,025.52"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.971756,-38.438103",55.0,"$98,296.19"
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,,224.0,"$308,930.91"
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.002785,-38.519222",225.0,"$390,064.28"
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.972996,-38.47842",54.0,"$79,573.11"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",225.0,"$254,587.15"
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",75.0,"$177,931.09"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,,75.0,"$106,382.38"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",75.0,"$107,713.59"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,150.0,"$235,146.35"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.941992,-38.403465",243.0,"$470,485.55"
house,|Brasil|Bahia|Lençóis|Centro|,Northeast,"-12.385784,-41.320999",99.0,"$87,374.39"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",68.0,"$137,302.62"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",66.0,"$122,436.49"
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",63.0,"$121,127.12"
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",90.0,"$204,926.35"
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",76.0,"$140,423.14"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83.0,"$153,352.36"
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.974552,-38.496819",76.0,"$99,856.45"
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",70.0,"$78,012.85"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.991246,-38.492966",67.0,"$137,674.59"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",56.0,"$99,683.89"
house,|Brasil|Bahia|Camaçari|,Northeast,,75.0,"$78,012.85"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83.0,"$221,393.62"
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83.0,"$206,020.72"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",90.0,"$292,482.05"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",89.0,"$149,507.27"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",70.0,"$164,886.72"
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",61.0,"$121,700.05"
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",122.0,"$187,230.85"
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.949672,-38.409973",80.0,"$132,517.00"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",240.0,"$343,256.56"
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",106.0,"$171,628.28"
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",132.0,"$348,481.86"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,,133.0,"$260,112.33"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",133.0,"$267,153.15"
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76.0,"$165,948.63"
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76.0,"$173,566.12"
house,|Brasil|Bahia|Salvador|,Northeast,,110.0,"$84,253.88"
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",100.0,"$81,133.37"
house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,,120.0,"$131,061.59"
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,,127.0,"$187,230.85"
house,|Brasil|Bahia|Salvador|Itapuã|,Northeast,,240.0,"$133,558.01"
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",66.0,"$131,061.59"
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",93.0,"$109,217.99"
