property_type,state,region,lat,lon,area_m2,price_brl
apartment,Pernambuco,Northeast,-8.134204,-34.906326,72.0,414222.98
apartment,Pernambuco,Northeast,-8.1266642,-34.903924,136.0,848408.53
apartment,Pernambuco,Northeast,-8.1255503,-34.907601,75.0,299438.28
apartment,Pernambuco,Northeast,-8.1202489,-34.89592,187.0,848408.53
apartment,Pernambuco,Northeast,-8.142666,-34.906906,80.0,464129.36
apartment,Pernambuco,Northeast,-8.1376709,-34.913349,94.0,294447.66
apartment,Pernambuco,Northeast,-8.1415992,-34.909179,80.0,314410.19
apartment,Pernambuco,Northeast,-8.1273367,-34.902712,54.0,419213.6
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,,349344.66
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63.0,449157.45
apartment,Pernambuco,Northeast,-8.1267642,-34.903425,105.0,548970.21
apartment,Pernambuco,Northeast,-8.1109179,-34.898785,88.0,369307.22
apartment,Pernambuco,Northeast,-8.140095,-34.90444,167.0,998127.67
apartment,Pernambuco,Northeast,-8.1272168,-34.89868,170.0,848408.53
apartment,Pernambuco,Northeast,-8.1170788,-34.899475,,419213.6
apartment,Pernambuco,Northeast,-8.1411081,-34.90887,64.0,339363.39
apartment,Pernambuco,Northeast,-8.1205721,-34.900301,81.0,369307.22
apartment,Pernambuco,Northeast,-8.1255503,-34.907601,72.0,359325.95
apartment,Pernambuco,Northeast,-8.1311923,-34.905777,83.0,389269.77
apartment,Pernambuco,Northeast,-8.1286491,-34.906648,,399251.07
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63.0,329382.13
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73.0,399251.07
apartment,Pernambuco,Northeast,-8.1381022,-34.904297,88.0,479101.27
apartment,Pernambuco,Northeast,-8.1135593,-34.899778,109.0,289457.01
apartment,Pernambuco,Northeast,-8.1201808,-34.901596,80.0,379288.51
apartment,Pernambuco,Northeast,-8.1421058,-34.906731,104.0,568932.77
apartment,Pernambuco,Northeast,-8.1260517,-34.902553,73.0,349344.66
apartment,Pernambuco,Northeast,-8.1384551,-34.909165,69.0,394260.42
apartment,Pernambuco,Northeast,-8.1211048,-34.907255,90.0,379288.51
apartment,Pernambuco,Northeast,-8.1100714,-34.893698,183.0,1522144.71
apartment,Pernambuco,Northeast,-8.126948,-34.905159,98.0,598876.59
apartment,Pernambuco,Northeast,-8.108315,-34.898277,,1427322.56
apartment,Pernambuco,Northeast,-8.109441,-34.898106,130.0,908296.17
apartment,Pernambuco,Northeast,-8.109441,-34.898106,,628820.41
apartment,Pernambuco,Northeast,-8.109441,-34.898106,128.0,958202.55
apartment,Pernambuco,Northeast,-8.109441,-34.898106,130.0,778539.59
apartment,Pernambuco,Northeast,-8.109441,-34.898106,100.0,718651.91
apartment,Pernambuco,Northeast,-8.109441,-34.898106,128.0,938240.02
apartment,Pernambuco,Northeast,-8.046015,-34.910507,55.0,369307.22
apartment,Pernambuco,Northeast,-8.086438,-34.89069,,444166.8
apartment,Pernambuco,Northeast,-8.0415623,-34.9416901,60.0,309419.57
apartment,Pernambuco,Northeast,-8.040035,-34.899654,182.0,1497191.5
apartment,Pernambuco,Northeast,-8.046015,-34.910507,55.0,389269.77
apartment,Pernambuco,Northeast,-8.056418,-34.909309,133.0,873361.7
apartment,Pernambuco,Northeast,-8.033291,-34.898014,113.0,918277.46
apartment,Pernambuco,Northeast,-8.048381,-34.908379,123.0,798502.15
apartment,Pernambuco,Northeast,-8.02765,-34.920338,105.0,828445.97
apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,,798502.15
apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,180.0,798502.15
apartment,Pernambuco,Northeast,-8.094985,-34.892761,160.0,1497191.5
apartment,Pernambuco,Northeast,-8.021971,-34.931366,,948221.29
apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,160.0,1247659.6
apartment,Pernambuco,Northeast,-8.03145,-34.917198,55.0,239550.63
apartment,Pernambuco,Northeast,-8.126271,-34.903793,240.0,998127.67
apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,155.0,988146.4
apartment,Pernambuco,Northeast,-8.027162,-34.913445,117.0,638801.71
apartment,Pernambuco,Northeast,-8.0124263,-34.9074499,238.0,1048034.05
apartment,Pernambuco,Northeast,-8.048381,-34.908379,167.0,598876.59
apartment,Pernambuco,Northeast,-8.085706,-34.890419,71.0,379288.51
apartment,Pernambuco,Northeast,-8.032375,-34.906925,,429194.89
apartment,Pernambuco,Northeast,-8.032375,-34.906925,61.0,449157.45
house,Pernambuco,Northeast,-8.027666,-34.881813,160.0,578914.03
apartment,Pernambuco,Northeast,-8.040233,-34.898281,82.0,529007.65
apartment,Pernambuco,Northeast,-8.035595,-34.921719,,1397378.74
apartment,Pernambuco,Northeast,-8.0295901,-34.909819,210.0,808483.41
apartment,Pernambuco,Northeast,-8.048997,-34.91011,175.0,798502.15
apartment,Pernambuco,Northeast,-8.027162,-34.913445,62.0,359325.95
apartment,Pernambuco,Northeast,-8.027162,-34.913445,62.0,369307.22
apartment,Pernambuco,Northeast,-8.027162,-34.913445,,349344.66
apartment,Pernambuco,Northeast,-8.021971,-34.931366,150.0,998127.67
apartment,Pernambuco,Northeast,-8.047531,-34.9142641,,314410.19
apartment,Pernambuco,Northeast,-8.0294182,-34.9243177,240.0,1597004.3
apartment,Pernambuco,Northeast,-8.021971,-34.931366,204.0,1097940.43
apartment,Pernambuco,Northeast,-8.149876,-34.910686,78.0,299438.28
apartment,Pernambuco,Northeast,-8.035618,-34.89333,149.0,1096942.3
apartment,Pernambuco,Northeast,-8.037489,-34.89537,80.0,439176.16
apartment,Pernambuco,Northeast,-8.027162,-34.913445,79.0,474110.62
house,Pernambuco,Northeast,-8.0356845,-34.9234524,238.0,1447285.12
apartment,Pernambuco,Northeast,-8.116955,-34.896206,128.0,743605.12
apartment,Pernambuco,Northeast,-8.117513,-34.899639,129.0,758577.03
apartment,Pernambuco,Northeast,-8.117513,-34.899639,129.0,1048034.05
apartment,Pernambuco,Northeast,-8.034344,-34.896725,67.0,439176.16
